uf,ano,icms_liq,fecp_liq,iss_mun,iss_mun_origem,formula,fonte
CE,2025,21205461503.22,242123985.04,3124132682.77,universo_dca,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2019,8117824329.82,55970181.82,2013620281.29,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2020,8584809311.16,66810076.92,1914637993.1399999,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2021,9774539050.820002,111517636.31,2220424528.9,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2022,10012878379.8,88975951.65,2649275891.22,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2023,9911207023.82,94159660.33,3087459470.15,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2024,11616907134.14,99663888.56,3472401821.2200003,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
DF,2025,12495222020.470001,102870659.48,3862618982.16,dca_gdf,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
ES,2019,11358014195.310001,54463244.78,1271074644.17,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
ES,2020,11865311436.119999,59227971.739999995,1323891557.24,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
ES,2021,15330348580.58,67809300.66,1567926149.6504588,amostra_razao_2024,"icms_liq/fecp_liq = DCA[conta por geração do ementário, Brutas − Outras Deduções]; iss_mun: universo 2024-25, estimador de razão 2019-23 (origem na coluna)","SICONFI DCA Anexo I-C estadual (data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet; apidatalake.tesouro.gov.br) | SICONFI DCA Anexo I-C municipal (subamostra fixada dca_mun_*, 2.844 entes, 2019-2023; universo 2024-2025 em data/raw/siconfi_municipal/) | LC 227 art. 115"
