uf,ano,fecp,fecp_bruta,deducao_fundeb,outras_deducoes,conta,formula,fonte
RN,2024,45626466.86,45626466.86,0.0,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RN,2025,64805050.2,64805050.2,0.0,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RO,2024,38235228.92,38235652.14,0.0,423.22,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RO,2025,43775356.92,43775356.92,0.0,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RS,2024,431293336.08,431293336.08,86258655.94,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
RS,2025,453427907.51,453427907.51,90528797.73,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SE,2024,226912651.56,226912651.56,45382890.31,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SE,2025,252579860.14,252579860.14,49559637.89,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SP,2024,995903574.71,995903574.71,199180714.95,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
SP,2025,989671514.0,989671514.0,197934302.8,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
TO,2024,42200579.9,42200579.9,8440115.79,0.0,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
TO,2025,41831614.17,41937480.36,8366322.82,105866.19,1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza (DCA Anexo I-C),"fecp = Receitas Brutas Realizadas − Outras Deduções da Receita (ADCT art. 82, §1º; já contido em icms_bruto — decomposição, não adição)",SICONFI DCA Anexo I-C; apidatalake.tesouro.gov.br/ords/siconfi/tt/dca; cache local data/raw/siconfi_estadual/dca_{UF}_{ano}.parquet
