uf,ano,icms_liquido_ex_fundeb_cotaparte_rs,deducao_fundeb_total_rs,iss_liquido_ex_fundeb_rs,fonte
RJ,2024,56894602954.23,10659629456.79,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RJ,2025,62386507272.83,11686270083.44,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
SP,2024,223844100208.03,38611810462.73,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
SP,2025,238061225357.02,41120790900.41,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PR,2024,51674948955.47,9937818330.84,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
PR,2025,53382822594.19,10465377212.49,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
SC,2024,42724622758.0,7572597257.14,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
SC,2025,45161068246.31,8129719102.88,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RS,2024,50610915119.55,9464514448.39,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
RS,2025,53696398855.02,9946113660.0,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MS,2024,17030658703.33,3277966616.18,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MS,2025,17621634610.85,3528097539.06,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MT,2024,23086882922.46,4529225279.07,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
MT,2025,26030429022.27,5118209971.17,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
GO,2024,29215644409.71,6047826806.42,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
GO,2025,30532863822.63,6323059579.4,,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
DF,2024,11716571022.7,3161198167.52,3472401821.22,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
DF,2025,12598092679.95,3378160052.62,3862618982.16,"SICONFI RREO Anexo 03, periodo 6 (bimestre nov-dez), coluna TOTAL (ULTIMOS 12 MESES), R$ correntes; apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo; coletado 2026-06-10; parquets Data/raw/siconfi_2024_2025/rreo_{UF}_{ano}_6.parquet"
