cod_ibge,uf,ano
1500701,PA,2019
1500701,PA,2020
1500701,PA,2021
1500701,PA,2022
1500701,PA,2023
1500800,PA,2019
1500800,PA,2020
1500800,PA,2021
1500800,PA,2022
1500800,PA,2023
1500859,PA,2019
1500859,PA,2020
1500859,PA,2021
1500859,PA,2022
1500859,PA,2023
1500909,PA,2019
1500909,PA,2020
1500909,PA,2021
1500909,PA,2022
1500909,PA,2023
1500958,PA,2019
1500958,PA,2020
1500958,PA,2021
1500958,PA,2022
1500958,PA,2023
1501006,PA,2019
1501006,PA,2020
1501006,PA,2021
1501006,PA,2022
1501006,PA,2023
1501105,PA,2019
1501105,PA,2020
1501105,PA,2021
1501105,PA,2022
1501105,PA,2023
1501204,PA,2019
1501204,PA,2020
1501204,PA,2021
1501204,PA,2022
1501204,PA,2023
1501253,PA,2019
1501253,PA,2020
1501253,PA,2021
1501253,PA,2022
1501253,PA,2023
1501303,PA,2019
1501303,PA,2020
1501303,PA,2021
1501303,PA,2022
1501303,PA,2023
1501402,PA,2019
1501402,PA,2020
1501402,PA,2021
1501402,PA,2022
1501402,PA,2023
1501451,PA,2019
1501451,PA,2020
1501451,PA,2021
1501451,PA,2022
1501451,PA,2023
1501501,PA,2019
1501501,PA,2020
1501501,PA,2021
1501501,PA,2022
1501501,PA,2023
1501576,PA,2019
1501576,PA,2020
1501576,PA,2021
1501576,PA,2022
1501576,PA,2023
1501600,PA,2019
1501600,PA,2020
1501600,PA,2021
1501600,PA,2022
1501600,PA,2023
1501709,PA,2019
1501709,PA,2020
1501709,PA,2021
1501709,PA,2022
1501709,PA,2023
1501725,PA,2019
1501725,PA,2020
1501725,PA,2021
1501725,PA,2022
1501725,PA,2023
1501758,PA,2019
1501758,PA,2020
1501758,PA,2021
1501758,PA,2022
1501758,PA,2023
1501782,PA,2019
1501782,PA,2020
1501782,PA,2021
1501782,PA,2022
1501782,PA,2023
1501808,PA,2019
1501808,PA,2020
1501808,PA,2021
1501808,PA,2022
1501808,PA,2023
1501907,PA,2019
1501907,PA,2020
1501907,PA,2021
1501907,PA,2022
1501907,PA,2023
1501956,PA,2019
1501956,PA,2020
1501956,PA,2021
1501956,PA,2022
1501956,PA,2023
1502004,PA,2019
1502004,PA,2020
1502004,PA,2021
1502004,PA,2022
1502004,PA,2023
1502103,PA,2019
1502103,PA,2020
1502103,PA,2021
1502103,PA,2022
1502103,PA,2023
1502152,PA,2019
1502152,PA,2020
1502152,PA,2021
1502152,PA,2022
1502152,PA,2023
1502202,PA,2019
1502202,PA,2020
1502202,PA,2021
1502202,PA,2022
1502202,PA,2023
1502301,PA,2019
1502301,PA,2020
1502301,PA,2021
1502301,PA,2022
1502301,PA,2023
1502400,PA,2019
1502400,PA,2020
1502400,PA,2021
1502400,PA,2022
1502400,PA,2023
1502509,PA,2019
1502509,PA,2020
1502509,PA,2021
1502509,PA,2022
1502509,PA,2023
1502608,PA,2019
1502608,PA,2020
1502608,PA,2021
1502608,PA,2022
1502608,PA,2023
1502707,PA,2019
1502707,PA,2020
1502707,PA,2021
1502707,PA,2022
1502707,PA,2023
1502756,PA,2019
1502756,PA,2020
1502756,PA,2021
1502756,PA,2022
1502756,PA,2023
1502764,PA,2019
1502764,PA,2020
1502764,PA,2021
1502764,PA,2022
1502764,PA,2023
1502772,PA,2019
1502772,PA,2020
1502772,PA,2021
1502772,PA,2022
1502772,PA,2023
1502806,PA,2019
1502806,PA,2020
1502806,PA,2021
1502806,PA,2022
1502806,PA,2023
1502855,PA,2019
1502855,PA,2020
1502855,PA,2021
1502855,PA,2022
1502855,PA,2023
1502905,PA,2019
1502905,PA,2020
1502905,PA,2021
1502905,PA,2022
1502905,PA,2023
1502939,PA,2019
1502939,PA,2020
1502939,PA,2021
1502939,PA,2022
1502939,PA,2023
1502954,PA,2019
1502954,PA,2020
1502954,PA,2021
1502954,PA,2022
1502954,PA,2023
1503002,PA,2021
1503002,PA,2022
1503002,PA,2023
1503044,PA,2019
1503044,PA,2020
1503044,PA,2021
1503044,PA,2022
1503044,PA,2023
1503077,PA,2019
1503077,PA,2020
1503077,PA,2021
1503077,PA,2022
1503077,PA,2023
1503093,PA,2019
1503093,PA,2020
1503093,PA,2021
1503093,PA,2022
1503093,PA,2023
1503101,PA,2019
1503101,PA,2020
1503101,PA,2021
1503101,PA,2022
1503101,PA,2023
1503200,PA,2019
1503200,PA,2020
1503200,PA,2021
1503200,PA,2022
1503200,PA,2023
1503309,PA,2019
1503309,PA,2020
1503309,PA,2021
1503309,PA,2022
1503309,PA,2023
1503408,PA,2019
1503408,PA,2020
1503408,PA,2021
1503408,PA,2022
1503408,PA,2023
1503457,PA,2019
1503457,PA,2020
1503457,PA,2021
1503457,PA,2022
1503457,PA,2023
1503507,PA,2019
1503507,PA,2020
1503507,PA,2021
1503507,PA,2022
1503507,PA,2023
1503606,PA,2019
1503606,PA,2020
1503606,PA,2021
1503606,PA,2022
1503606,PA,2023
1503705,PA,2019
1503705,PA,2020
1503705,PA,2021
1503705,PA,2022
1503705,PA,2023
1503754,PA,2019
1503754,PA,2020
1503754,PA,2021
1503754,PA,2022
1503754,PA,2023
1503804,PA,2019
1503804,PA,2020
1503804,PA,2021
1503804,PA,2022
1503804,PA,2023
1503903,PA,2019
1503903,PA,2020
1503903,PA,2021
1503903,PA,2022
1503903,PA,2023
1504000,PA,2019
1504000,PA,2020
1504000,PA,2021
1504000,PA,2022
1504000,PA,2023
1504059,PA,2019
1504059,PA,2020
1504059,PA,2021
1504059,PA,2022
1504059,PA,2023
1504109,PA,2019
1504109,PA,2020
1504109,PA,2021
1504109,PA,2022
1504109,PA,2023
1504208,PA,2019
1504208,PA,2020
1504208,PA,2021
1504208,PA,2022
1504208,PA,2023
1504307,PA,2019
1504307,PA,2020
1504307,PA,2021
1504307,PA,2022
1504307,PA,2023
1504406,PA,2019
1504406,PA,2020
1504406,PA,2021
1504406,PA,2022
1504406,PA,2023
1504422,PA,2019
1504422,PA,2020
1504422,PA,2021
1504422,PA,2022
1504422,PA,2023
1504455,PA,2019
1504455,PA,2020
1504455,PA,2021
1504455,PA,2022
1504505,PA,2019
1504505,PA,2020
1504505,PA,2021
1504505,PA,2022
1504505,PA,2023
1504604,PA,2019
1504604,PA,2020
1504604,PA,2021
1504604,PA,2022
1504604,PA,2023
1504703,PA,2019
1504703,PA,2020
1504703,PA,2021
1504703,PA,2022
1504703,PA,2023
1504802,PA,2019
1504802,PA,2020
1504802,PA,2021
1504802,PA,2022
1504802,PA,2023
1504901,PA,2019
1504901,PA,2020
1504901,PA,2021
1504901,PA,2022
1504901,PA,2023
1504950,PA,2019
1504950,PA,2020
1504950,PA,2021
1504950,PA,2022
1504950,PA,2023
1504976,PA,2019
1504976,PA,2020
1504976,PA,2021
1504976,PA,2022
1504976,PA,2023
1505007,PA,2019
1505007,PA,2020
1505007,PA,2021
1505007,PA,2022
1505007,PA,2023
1505031,PA,2019
1505031,PA,2020
1505031,PA,2021
1505031,PA,2022
1505031,PA,2023
1505064,PA,2019
1505064,PA,2020
1505064,PA,2021
1505064,PA,2022
1505064,PA,2023
1505106,PA,2019
1505106,PA,2020
1505106,PA,2021
1505106,PA,2022
1505106,PA,2023
1505205,PA,2019
1505205,PA,2020
1505205,PA,2021
1505205,PA,2022
1505205,PA,2023
1505304,PA,2019
1505304,PA,2020
1505304,PA,2021
1505304,PA,2022
1505304,PA,2023
1505403,PA,2019
1505403,PA,2020
1505403,PA,2021
1505403,PA,2022
1505403,PA,2023
1505437,PA,2019
1505437,PA,2020
1505437,PA,2021
1505437,PA,2022
1505437,PA,2023
1505486,PA,2019
1505486,PA,2020
1505486,PA,2021
1505486,PA,2022
1505486,PA,2023
1505494,PA,2019
1505494,PA,2020
1505494,PA,2021
1505494,PA,2022
1505494,PA,2023
1505502,PA,2019
1505502,PA,2020
1505502,PA,2021
1505502,PA,2022
1505502,PA,2023
1505536,PA,2019
1505536,PA,2020
1505536,PA,2021
1505536,PA,2022
1505536,PA,2023
1505551,PA,2019
1505551,PA,2020
1505551,PA,2021
1505551,PA,2022
1505551,PA,2023
1505601,PA,2019
1505601,PA,2020
1505601,PA,2021
1505601,PA,2022
1505601,PA,2023
1505635,PA,2019
1505635,PA,2020
1505635,PA,2021
1505635,PA,2022
1505635,PA,2023
1505650,PA,2019
1505650,PA,2020
1505650,PA,2021
1505650,PA,2022
1505650,PA,2023
1505700,PA,2019
1505700,PA,2020
1505700,PA,2021
1505700,PA,2022
1505700,PA,2023
1505809,PA,2019
1505809,PA,2020
1505809,PA,2021
1505809,PA,2022
1505809,PA,2023
1505908,PA,2019
1505908,PA,2020
1505908,PA,2021
1505908,PA,2022
1505908,PA,2023
1506005,PA,2019
1506005,PA,2020
1506005,PA,2021
1506005,PA,2022
1506104,PA,2019
1506104,PA,2020
1506104,PA,2021
1506104,PA,2022
1506104,PA,2023
1506112,PA,2019
1506112,PA,2020
1506112,PA,2021
1506112,PA,2022
1506138,PA,2019
1506138,PA,2020
1506138,PA,2021
1506138,PA,2022
1506138,PA,2023
1506161,PA,2019
1506161,PA,2020
1506161,PA,2021
1506161,PA,2022
1506161,PA,2023
1506187,PA,2019
1506187,PA,2020
1506187,PA,2021
1506187,PA,2022
1506187,PA,2023
1506195,PA,2019
1506195,PA,2020
1506195,PA,2021
1506195,PA,2022
1506195,PA,2023
1506203,PA,2019
1506203,PA,2020
1506203,PA,2021
1506203,PA,2022
1506203,PA,2023
1506302,PA,2019
1506302,PA,2020
1506302,PA,2021
1506302,PA,2022
1506302,PA,2023
1506351,PA,2019
1506351,PA,2020
1506351,PA,2021
1506351,PA,2022
1506351,PA,2023
1506401,PA,2019
1506401,PA,2020
1506401,PA,2021
1506401,PA,2022
1506401,PA,2023
1506500,PA,2019
1506500,PA,2020
1506500,PA,2021
1506500,PA,2022
1506500,PA,2023
1506559,PA,2019
1506559,PA,2020
1506559,PA,2021
1506559,PA,2022
1506559,PA,2023
1506583,PA,2019
1506583,PA,2020
1506583,PA,2021
1506583,PA,2022
1506583,PA,2023
1506609,PA,2019
1506609,PA,2020
1506609,PA,2021
1506609,PA,2022
1506609,PA,2023
1506708,PA,2019
1506708,PA,2020
1506708,PA,2021
1506708,PA,2022
1506708,PA,2023
1506807,PA,2019
1506807,PA,2020
1506807,PA,2021
1506807,PA,2022
1506807,PA,2023
1506906,PA,2019
1506906,PA,2020
1506906,PA,2021
1506906,PA,2022
1506906,PA,2023
1507003,PA,2019
1507003,PA,2020
1507003,PA,2021
1507003,PA,2022
1507003,PA,2023
1507102,PA,2019
1507102,PA,2020
1507102,PA,2021
1507102,PA,2022
1507102,PA,2023
1507151,PA,2019
1507151,PA,2020
1507151,PA,2021
1507151,PA,2022
1507151,PA,2023
1507201,PA,2019
1507201,PA,2020
1507201,PA,2021
1507201,PA,2022
1507201,PA,2023
1507300,PA,2019
1507300,PA,2020
1507300,PA,2021
1507300,PA,2022
1507300,PA,2023
1507409,PA,2019
1507409,PA,2020
1507409,PA,2021
1507409,PA,2022
1507409,PA,2023
1507458,PA,2019
1507458,PA,2020
1507458,PA,2021
1507458,PA,2022
1507458,PA,2023
1507466,PA,2019
1507466,PA,2020
1507466,PA,2021
1507466,PA,2022
1507466,PA,2023
1507474,PA,2019
1507474,PA,2020
1507474,PA,2021
1507474,PA,2022
1507474,PA,2023
1507508,PA,2019
1507508,PA,2020
1507508,PA,2021
1507508,PA,2022
1507508,PA,2023
1507607,PA,2019
1507607,PA,2020
1507607,PA,2021
1507607,PA,2022
1507607,PA,2023
1507706,PA,2019
1507706,PA,2020
1507706,PA,2021
1507706,PA,2022
1507706,PA,2023
1507755,PA,2019
1507755,PA,2020
1507755,PA,2021
1507755,PA,2022
1507755,PA,2023
1507805,PA,2019
1507805,PA,2020
1507805,PA,2021
1507805,PA,2022
1507805,PA,2023
1507904,PA,2019
1507904,PA,2020
1507904,PA,2021
1507904,PA,2022
1507904,PA,2023
1507953,PA,2019
1507953,PA,2020
1507953,PA,2021
1507953,PA,2022
1507953,PA,2023
